219,-1,1338.8,554.0,51.5,135.7,1.000000
219,-1,1678.3,551.6,76.4,142.4,1.000000
219,-1,137.9,591.2,26.7,81.0,1.000000
219,-1,1010.6,529.0,32.3,71.5,0.999000
219,-1,877.3,531.5,23.4,60.5,0.999000
219,-1,824.0,519.8,17.1,49.2,0.998000
219,-1,27.0,575.1,29.2,91.5,0.988000
219,-1,7.6,576.9,32.3,92.3,0.983000
219,-1,1106.2,539.4,27.9,82.6,0.981000
219,-1,967.5,532.9,26.6,67.5,0.964000
219,-1,1081.6,540.4,29.6,78.6,0.940000
219,-1,995.5,532.8,25.4,65.4,0.817000
219,-1,1059.8,539.7,26.8,70.0,0.816000
219,-1,1041.5,530.4,27.8,69.7,0.805000
219,-1,982.3,532.6,24.6,69.5,0.775000
219,-1,953.7,534.4,24.0,62.8,0.093000
316,-1,1700.0,543.9,36.7,104.6,1.000000
316,-1,1188.9,530.2,25.3,58.3,1.000000
316,-1,34.8,646.7,51.1,132.2,1.000000
316,-1,1390.0,599.4,53.0,136.1,0.999000
316,-1,257.3,628.0,38.2,135.1,0.999000
316,-1,1343.4,579.0,66.7,140.6,0.999000
316,-1,1265.7,521.3,24.2,61.7,0.999000
316,-1,222.5,656.6,33.4,121.7,0.998000
245,-1,1419.6,551.1,46.9,149.0,1.000000
245,-1,106.3,599.1,29.8,91.2,1.000000
245,-1,1028.6,523.2,31.7,74.6,1.000000
245,-1,904.1,529.2,26.7,66.1,0.999000
245,-1,855.1,515.8,20.5,52.5,0.999000
245,-1,385.2,534.0,17.5,38.5,0.999000
245,-1,1182.0,520.5,26.0,78.0,0.997000
245,-1,1157.8,522.5,22.6,74.8,0.207000
358,-1,1577.2,644.2,90.3,193.6,1.000000
358,-1,1368.9,612.4,88.4,208.4,1.000000
358,-1,1455.1,667.4,68.6,202.3,1.000000
358,-1,106.6,675.4,48.4,169.6,1.000000
358,-1,47.5,707.0,42.9,162.3,1.000000
358,-1,1533.1,554.9,36.8,93.5,0.999000
358,-1,1457.3,560.3,38.0,83.1,0.992000
358,-1,1353.1,526.5,22.5,54.9,0.970000
358,-1,1413.3,554.4,33.8,87.3,0.771000
358,-1,1364.2,531.0,23.0,55.0,0.765000
358,-1,1381.7,541.7,23.4,55.6,0.463000
371,-1,1548.6,694.4,112.6,213.4,1.000000
371,-1,1454.5,720.0,89.6,235.1,1.000000
371,-1,1682.8,612.8,52.2,141.0,1.000000
371,-1,1362.3,655.0,62.5,217.7,1.000000
371,-1,17.5,715.1,51.4,185.8,1.000000
371,-1,1374.5,580.9,51.4,104.0,0.999000
371,-1,1552.1,577.7,34.0,103.6,0.980000
371,-1,1457.8,584.7,42.4,86.4,0.976000
371,-1,1503.2,582.3,31.1,92.1,0.881000
371,-1,1323.0,654.3,50.8,191.2,0.865000
371,-1,1355.1,553.7,18.2,51.0,0.235000
371,-1,1519.5,582.3,42.6,93.5,0.084000
371,-1,1429.2,586.8,36.0,82.9,0.051000
17,-1,1633.6,589.2,57.6,142.9,1.000000
17,-1,1729.1,590.2,60.9,142.3,1.000000
17,-1,1540.4,536.4,41.8,85.3,1.000000
17,-1,117.0,604.1,65.6,166.5,1.000000
17,-1,1416.0,534.8,40.4,104.6,1.000000
17,-1,12.4,592.7,63.1,185.7,1.000000
17,-1,518.6,552.8,37.5,97.2,1.000000
17,-1,477.8,551.3,36.4,94.6,1.000000
